start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng
2112 W Peterson Ave,723,11,0,2023-02-02,2024-01-28,41.991028166666666,-87.683748
410,7,0,0,2023-04-27,2023-04-27,41.9,-87.69
63rd St Beach,985,6,0,2023-02-12,2024-01-29,41.78081816666667,-87.576407
900 W Harrison St,12646,449,4,2023-02-01,2024-01-31,41.842626214,-87.704150558
Aberdeen St & Jackson Blvd,14926,544,14,2023-02-01,2024-01-31,41.869211066666665,-87.71304606666666
Aberdeen St & Monroe St,10096,384,8,2023-02-01,2024-01-31,41.880094166666666,-87.668944
Aberdeen St & Randolph St,11000,304,6,2023-02-01,2024-01-31,41.882124833333336,-87.67228113333333
Ada St & 113th St,29,0,0,2023-04-08,2023-11-29,41.6875335,-87.65547573566435
Ada St & Washington Blvd,6698,252,5,2023-02-01,2024-01-31,41.882617833333335,-87.70212518333334
Adler Planetarium,16893,108,5,2023-02-01,2024-01-31,41.83867632897121,-87.64862671494483
Albany Ave & 16th St,113,2,0,2023-02-28,2024-01-29,41.859054208,-87.703129053
Albany Ave & 26th St,199,1,0,2023-02-10,2024-01-22,41.844375253,-87.702133417
Albany Ave & Belmont Ave,714,31,0,2023-02-01,2024-01-31,41.93938233333333,-87.71
Albany Ave & Bloomingdale Ave,5344,189,5,2023-02-01,2024-01-31,41.87799763333334,-87.70529233333333
Albany Ave & Douglas Blvd,72,0,0,2023-04-12,2023-12-27,41.86,-87.7031665
Albany Ave & Montrose Ave,2046,40,1,2023-02-04,2024-01-31,41.94975911666667,-87.74686418333333
Altgeld Gardens,60,0,0,2023-03-20,2023-12-03,41.65666552967373,-87.59890083333333
Archer (Damen) Ave & 37th St,642,15,0,2023-02-01,2024-01-31,41.82664466666667,-87.683256149
Archer Ave & 43rd St,96,4,0,2023-02-08,2024-01-27,41.815415621,-87.70250883333334
Artesian Ave & 55th St,139,2,0,2023-02-01,2024-01-13,41.79,-87.69
Artesian Ave & 71st St,21,1,0,2023-10-09,2024-01-04,41.764278173,-87.684515119
Artesian Ave & Hubbard St,5244,247,6,2023-02-01,2024-01-31,41.82328903333333,-87.69066023333333
Artesian Ave & Marquette Rd,22,5,0,2023-10-11,2024-01-31,41.772025228,-87.68477366666667
Ashland Ave & 13th St,3474,105,2,2023-02-01,2024-01-31,41.705845233333335,-87.71734213333333
Ashland Ave & 50th St,332,16,0,2023-02-04,2024-01-31,41.802911401,-87.664823294
Ashland Ave & 63rd St,113,0,0,2023-02-06,2023-12-23,41.777664542,-87.665040851
Ashland Ave & 66th St,64,4,0,2023-02-08,2024-01-08,41.77404511,-87.663815856
Ashland Ave & 74th St,79,2,0,2023-02-10,2024-01-01,41.75910683333333,-87.66351733333333
Ashland Ave & 78th St,107,5,1,2023-02-27,2024-01-28,41.752159119,-87.66397678333334
Ashland Ave & Archer Ave,1827,38,0,2023-02-01,2024-01-30,41.838741422,-87.666129708
Ashland Ave & Augusta Blvd,7276,238,3,2023-02-01,2024-01-31,41.8831125,-87.66937483333334
Ashland Ave & Belle Plaine Ave,3189,66,1,2023-02-01,2024-01-31,41.955620766,-87.669084907
Ashland Ave & Blackhawk St,8438,174,2,2023-02-01,2024-01-31,41.883601657275165,-87.67021583333333
Ashland Ave & Chicago Ave,6444,184,3,2023-02-01,2024-01-31,41.8723992,-87.684258223
Ashland Ave & Division St,21837,535,6,2023-02-01,2024-01-31,41.86700236666667,-87.70517783333334
Ashland Ave & Garfield Blvd,97,2,0,2023-02-01,2024-01-25,41.792822,-87.664572358
Ashland Ave & Grace St,7883,217,6,2023-02-01,2024-01-31,41.912005533333335,-87.71029495
Ashland Ave & Grand Ave,5566,147,2,2023-02-01,2024-01-31,41.86700236666667,-87.667085886
Ashland Ave & Lake St,6374,167,1,2023-02-01,2024-01-31,41.883601657275165,-87.68064771666667
Ashland Ave & McDowell Ave,267,3,0,2023-02-01,2024-01-31,41.808782339,-87.664619207
Ashland Ave & Pershing Rd,298,3,0,2023-02-13,2024-01-31,41.823370695,-87.665663
Ashland Ave & Wellington Ave,7406,188,0,2023-02-01,2024-01-31,41.8879894,-87.67018783333333
Ashland Ave & Wrightwood Ave,5466,187,3,2023-02-01,2024-01-31,41.890812278,-87.677449942
Augusta Blvd & Laramie Ave,43,0,0,2023-05-17,2023-12-16,41.898543333333336,-87.76
Austin Blvd & Chicago Ave,174,1,0,2023-02-12,2024-01-28,41.894793666666665,-87.774704
Austin Blvd & Lake St,425,3,0,2023-02-05,2024-01-28,41.887772441,-87.774594069
Austin Blvd & Madison St,340,2,0,2023-02-07,2024-01-28,41.880216,-87.774576545
Avenue L & 114th St,19,0,0,2023-05-29,2023-12-20,41.687902331,-87.53662016666667
Avenue O & 118th St,68,2,0,2023-02-19,2024-01-08,41.680952072,-87.538105249
Avenue O & 134th St,102,0,0,2023-02-02,2023-10-25,41.65176177,-87.540850043
Avers Ave & Belmont Ave,2423,51,1,2023-02-01,2024-01-31,41.939285278,-87.72370851
Avondale Ave & Irving Park Rd,2605,58,0,2023-02-01,2024-01-31,41.952617645,-87.74017285
Baltimore Ave & 87th St,222,11,0,2023-02-05,2024-01-24,41.73728666666667,-87.548652053
Base - 2132 W Hubbard,7,0,0,2023-04-16,2023-06-25,41.88996749470834,-87.680348158
Bennett Ave & 79th St,59,1,0,2023-02-12,2024-01-23,41.751781702,-87.57856116666666
Benson Ave & Church St,5958,208,5,2023-02-01,2024-01-31,42.032597303,-87.683772445
Bernard St & Elston Ave,1827,70,2,2023-02-01,2024-01-31,41.949303746,-87.714966655
Big Marsh Park,235,0,0,2023-02-11,2023-11-18,41.685853004,-87.573825002
Bissell St & Armitage Ave*,9389,322,9,2023-02-01,2024-01-31,41.9116985,-87.65908001666666
Blackstone Ave & 59th St,4463,634,17,2023-09-14,2024-01-31,41.787442565,-87.6280285
Blackstone Ave & Hyde Park Blvd,4871,193,10,2023-02-01,2024-01-31,41.80186483333333,-87.68012498333333
Bloomingdale Ave & Harlem Ave,78,2,0,2023-02-02,2024-01-25,41.91,-87.81
Blue Island Ave & 18th St,5537,111,1,2023-02-02,2024-01-31,41.856827736,-87.68962943333334
Bosworth Ave & Howard St,977,24,0,2023-02-04,2024-01-31,42.019338012,-87.670154929
Bradley Park,15,1,0,2023-03-05,2024-01-29,41.717869163,-87.564592
Broadway & Argyle St,8819,208,1,2023-02-01,2024-01-31,41.877773046,-87.73053848333333
Broadway & Barry Ave,28223,656,12,2023-02-01,2024-01-31,41.8679495,-87.68010996666666
Broadway & Belmont Ave,16462,399,10,2023-02-01,2024-01-31,41.883601657275165,-87.66778016666666
Broadway & Berwyn Ave,7694,190,1,2023-02-01,2024-01-31,41.9433502470174,-87.67066776752472
Broadway & Cornelia Ave,21002,457,4,2023-02-01,2024-01-31,41.760866283333336,-87.836727262
Broadway & Granville Ave,7053,149,3,2023-02-01,2024-01-31,41.993975878,-87.661162853
Broadway & Ridge Ave,6471,121,4,2023-02-01,2024-01-31,41.89479433333333,-87.73060976666666
Broadway & Sheridan Rd,15907,419,9,2023-02-01,2024-01-31,41.877773046,-87.73060976666666
Broadway & Thorndale Ave,7329,142,4,2023-02-01,2024-01-31,41.979096,-87.66846501666667
Broadway & Waveland Ave,21967,608,11,2023-02-01,2024-01-31,41.802354097,-87.73060976666666
Broadway & Wilson Ave,11779,327,7,2023-02-01,2024-01-31,41.889583816666665,-87.74485883333334
Buckingham - Fountain,207,0,0,2023-09-29,2023-10-06,41.876255,-87.620483
Buckingham Fountain,4294,68,0,2023-02-03,2024-01-31,41.868288,-87.6403712
Buckingham Fountain (Columbus/Balbo),147,0,0,2023-09-20,2023-09-29,41.870748,-87.623997
Buckingham Fountain (Michigan/11th),1,0,0,2023-08-11,2023-08-11,41.876423,-87.620339
Buckingham Fountain (Temp),4547,0,0,2023-06-06,2023-09-20,41.864011833333336,-87.62938516666667
Budlong Woods Library,897,23,0,2023-02-02,2024-01-31,41.98356416666667,-87.696515799
Burling St & Diversey Pkwy,13766,274,7,2023-02-01,2024-01-31,41.82328903333333,-87.67228113333333
Burnham Greenway & 105th St,101,1,0,2023-02-12,2024-01-02,41.704575,-87.528613567
Burnham Greenway & 112th St,359,2,0,2023-02-09,2024-01-02,41.691706777,-87.53058183333333
Burnham Harbor,9602,59,0,2023-02-04,2024-01-31,41.8573535,-87.680122
California & 16th St,236,7,0,2023-02-04,2024-01-30,41.859144807,-87.7
California Ave & 21st St,764,14,0,2023-02-01,2024-01-30,41.853370547,-87.696095943
California Ave & 23rd Pl,671,10,0,2023-02-02,2024-01-20,41.84891416666667,-87.69525416666667
California Ave & 26th St,267,9,0,2023-02-02,2024-01-31,41.84364266666667,-87.695020795
California Ave & 29th St,43,0,0,2023-02-12,2023-12-11,41.84,-87.69419183333333
California Ave & 36th St,129,2,0,2023-02-06,2024-01-23,41.828183413,-87.69460266666667
California Ave & 71st St,34,7,0,2023-09-29,2024-01-30,41.76473283333333,-87.69315566666667
California Ave & Altgeld St,4028,104,0,2023-02-01,2024-01-31,41.8538097,-87.71515141666667
California Ave & Byron St,2547,78,0,2023-02-02,2024-01-31,41.9520385,-87.698472261
California Ave & Cortez St,5938,106,1,2023-02-01,2024-01-31,41.878830183333335,-87.697281122
California Ave & Division St,4107,85,0,2023-02-01,2024-01-31,41.902752995,-87.70609883333333
California Ave & Fletcher St,2937,43,1,2023-02-01,2024-01-31,41.89030098333333,-87.698260546
California Ave & Francis Pl,4747,109,2,2023-04-19,2024-01-31,41.89030098333333,-87.69797366666667
California Ave & Francis Pl (Temp),632,0,0,2023-02-01,2023-04-19,41.883601657275165,-87.697668433
California Ave & Granville Ave,123,16,0,2023-10-20,2024-01-31,41.993874311,-87.6993725
California Ave & Lake St,1118,25,0,2023-02-06,2024-01-31,41.88326513333333,-87.696460128
California Ave & Marquette Rd,93,5,0,2023-02-05,2024-01-31,41.77,-87.69352591
California Ave & Milwaukee Ave,11908,354,8,2023-02-01,2024-01-31,41.89003216666666,-87.698373675
California Ave & Montrose Ave,3376,53,0,2023-02-01,2024-01-31,41.88549170626906,-87.695581794
California Ave & North Ave,4313,100,1,2023-02-01,2024-01-31,41.8830718,-87.698490262
California Ave & Winona St,719,43,0,2023-02-02,2024-01-31,41.97,-87.7
Calumet Ave & 18th St,8212,125,3,2023-02-01,2024-01-31,41.856329679,-87.64862671494483
Calumet Ave & 21st St,4250,54,0,2023-02-01,2024-01-31,41.83479225,-87.64862671494483
Calumet Ave & 33rd St,12716,482,10,2023-02-01,2024-01-31,41.7998048,-87.735646129
Calumet Ave & 35th St,4019,146,5,2023-02-01,2024-01-31,41.764829866666666,-87.735646129
Calumet Ave & 51st St,1013,13,0,2023-02-04,2024-01-30,41.801697612,-87.618364811
Calumet Ave & 71st St,204,10,1,2023-02-02,2024-01-30,41.765457869,-87.61700833333333
Calumet Park,164,0,0,2023-02-19,2023-12-26,41.7136755,-87.53089933333334
Campbell Ave & 51st St,140,2,0,2023-02-08,2024-01-29,41.8,-87.69
Campbell Ave & Augusta Blvd,2126,88,1,2023-04-27,2024-01-31,41.899345875,-87.69
Campbell Ave & Fullerton Ave,3201,48,0,2023-02-01,2024-01-31,41.88205033333333,-87.80576116666667
