start_lat,start_lng,rides_all,rides_january,rides_jan14_16,first_ride,last_ride
41.63,-87.46,1,0,0,2023-08-10,2023-08-10
41.64,-87.54,2,0,0,2023-06-30,2023-10-30
41.65,-87.62,1,0,0,2023-06-18,2023-06-18
41.65,-87.61,2,0,0,2023-04-21,2023-06-03
41.65,-87.6,17,0,0,2023-02-13,2023-08-22
41.65,-87.56,3,0,0,2023-08-22,2023-09-08
41.65,-87.55,20,3,0,2023-03-28,2024-01-12
41.65,-87.54,21,2,0,2023-03-21,2024-01-22
41.65,-87.53,17,0,0,2023-05-31,2023-12-06
41.66,-87.64,16,0,0,2023-02-04,2023-09-25
41.66,-87.62,5,0,0,2023-04-14,2023-12-17
41.66,-87.61,2,0,0,2023-05-12,2023-09-03
41.66,-87.6,34,0,0,2023-02-19,2023-09-04
41.66,-87.57,1,0,0,2023-08-17,2023-08-17
41.66,-87.56,5,0,0,2023-08-19,2023-08-19
41.66,-87.55,35,1,0,2023-02-07,2024-01-08
41.66,-87.54,5,0,0,2023-04-22,2023-10-10
41.67,-87.66,4,0,0,2023-07-21,2023-08-04
41.67,-87.64,22,0,0,2023-02-04,2023-10-10
41.67,-87.63,9,0,0,2023-02-08,2023-11-29
41.67,-87.62,52,0,0,2023-05-13,2023-12-21
41.67,-87.56,5,1,0,2023-02-28,2024-01-30
41.67,-87.54,4,0,0,2023-05-20,2023-08-29
41.68,-87.72,8,0,0,2023-09-01,2023-09-01
41.68,-87.71,6,0,0,2023-06-04,2023-11-12
41.68,-87.7,8,0,0,2023-02-19,2023-06-29
41.68,-87.69,1,0,0,2023-06-26,2023-06-26
41.68,-87.68,20,0,0,2023-03-17,2023-12-24
41.68,-87.67,6,0,0,2023-03-16,2023-11-07
41.68,-87.66,49,2,0,2023-02-16,2024-01-11
41.68,-87.65,22,0,0,2023-02-12,2023-10-07
41.68,-87.64,63,1,0,2023-02-01,2024-01-04
41.68,-87.63,15,0,0,2023-02-12,2023-08-21
41.68,-87.62,35,0,0,2023-04-14,2023-12-13
41.68,-87.54,13,0,0,2023-04-20,2023-10-28
41.68,-87.53,1,0,0,2023-07-09,2023-07-09
41.69,-87.73,1,0,0,2023-08-19,2023-08-19
41.69,-87.72,11,0,0,2023-03-01,2023-08-25
41.69,-87.71,21,0,0,2023-02-19,2023-09-21
41.69,-87.7,17,0,0,2023-03-21,2023-11-08
41.69,-87.69,75,1,0,2023-02-07,2024-01-27
41.69,-87.68,76,1,0,2023-02-01,2024-01-05
