field_1,start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,community,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len
"313",Fort Dearborn Dr & 31st St*,"3582","32","0",2023/06/05,2024/01/30,41.8352378333333,-87.61825943,DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
"1448",State St & 29th St,"1245","29","0",2023/02/01,2024/01/31,41.841631413,-87.627061,DOUGLAS,"0","46004621.1581","0","35","35","0","0","31027.0545098"
"466",Lake Park Ave & 35th St,"3724","69","1",2023/02/01,2024/01/31,41.830796242,-87.609025717,OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
"843",Public Rack - Greenwood Ave & Lake Park Ave,"29","0","0",2023/03/07,2023/12/03,41.817136526,-87.6,OAKLAND,"0","16913961.0408","0","36","36","0","0","19565.5061533"
"218",Cottage Grove Ave & Oakwood Blvd,"1056","21","0",2023/02/07,2024/01/31,41.8228631666667,-87.63122355,FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
"653",Princeton Ave & 47th St,"542","14","1",2023/02/02,2024/01/31,41.809233189,-87.6335443333333,FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
"654",Princeton Ave & Garfield Blvd,"412","10","1",2023/02/02,2024/01/31,41.794883132,-87.633324623,FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
"1182",Public Rack - Princeton Ave & 43rd St,"4","0","0",2023/02/28,2023/07/25,41.8159545,-87.6336931666667,FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
"1252",Public Rack - State ST & 42nd St,"52","1","0",2023/02/10,2024/01/12,41.8187485,-87.63,FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
"1416",Shields Ave & 43rd St,"213","4","0",2023/02/02,2024/01/31,41.816041231,-87.634990931,FULLER PARK,"0","19916704.8692","0","37","37","0","0","25339.0897503"
"210",Cottage Grove Ave & 43rd St,"1033","30","0",2023/02/01,2024/01/30,41.816175818,-87.606804729,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
"211",Cottage Grove Ave & 47th St,"1317","37","0",2023/02/02,2024/01/31,41.809733987,-87.607012749,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
"389",Indiana Ave & 40th St,"295","4","0",2023/02/03,2024/01/31,41.8215561666667,-87.6216,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
"533",MLK Jr Dr & 47th St,"759","8","0",2023/02/02,2024/01/30,41.809536934,-87.616499305,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
"651",Prairie Ave & 43rd St,"906","24","0",2023/02/01,2024/01/31,41.816125512,-87.620119452,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
"661",Public Rack - 532 E 43rd St,"17","1","0",2023/04/13,2024/01/08,41.8166695,-87.613342524,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
"836",Public Rack - Forrestville Ave & 47th St,"44","0","0",2023/04/10,2023/12/26,41.809294105,-87.6133276666667,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
"965",Public Rack - King Dr & Oakwood Blvd,"4","0","0",2023/02/18,2023/09/08,41.82,-87.62,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
"995",Public Rack - Langley Ave & 49th St,"163","7","0",2023/02/07,2024/01/10,41.80486083,-87.61,GRAND BOULEVARD,"0","48492503.1554","0","38","38","0","0","28196.8371573"
