start_lat,start_lng,rides_all,rides_january,rides_jan14_16,first_ride,last_ride
41.63,-87.46,"1","0","0",2023/08/10,2023/08/10
41.64,-87.54,"2","0","0",2023/06/30,2023/10/30
41.65,-87.62,"1","0","0",2023/06/18,2023/06/18
41.66,-87.62,"5","0","0",2023/04/14,2023/12/17
41.67,-87.66,"4","0","0",2023/07/21,2023/08/04
41.68,-87.72,"8","0","0",2023/09/01,2023/09/01
41.68,-87.71,"6","0","0",2023/06/04,2023/11/12
41.68,-87.7,"8","0","0",2023/02/19,2023/06/29
41.68,-87.69,"1","0","0",2023/06/26,2023/06/26
41.69,-87.52,"2","0","0",2023/10/07,2023/10/14
41.7,-87.52,"5","0","0",2023/04/19,2023/08/29
41.71,-87.71,"47","0","0",2023/02/05,2023/09/22
41.71,-87.7,"19","0","0",2023/02/05,2023/09/03
41.72,-87.69,"8","0","0",2023/04/26,2023/12/01
41.73,-87.74,"23","0","0",2023/06/05,2023/08/04
41.73,-87.73,"1","0","0",2023/08/11,2023/08/11
41.73,-87.72,"1","1","0",2024/01/02,2024/01/02
41.73,-87.7,"2","0","0",2023/08/04,2023/08/19
41.73,-87.69,"1","0","0",2023/10/06,2023/10/06
41.75,-87.75,"1","0","0",2023/11/07,2023/11/07
41.75,-87.53,"1","0","0",2023/06/03,2023/06/03
41.76,-87.79,"1","0","0",2023/08/04,2023/08/04
41.76,-87.75,"2","0","0",2023/07/05,2023/12/27
41.76,-87.55,"31","0","0",2023/02/26,2023/12/28
41.77,-87.8,"6","0","0",2023/05/23,2023/09/01
41.77,-87.79,"8","0","0",2023/06/08,2023/10/22
41.77,-87.78,"7","0","0",2023/05/19,2023/11/15
41.77,-87.77,"2","0","0",2023/09/30,2023/10/07
41.77,-87.76,"5","0","0",2023/06/21,2023/09/25
41.77,-87.75,"18","0","0",2023/05/20,2023/10/01
41.77,-87.56,"46","1","0",2023/04/10,2024/01/02
41.78,-87.57,"250","3","0",2023/02/07,2024/01/18
41.8,-87.8,"7","3","0",2023/05/13,2024/01/30
41.8,-87.79,"20","0","0",2023/05/21,2023/12/20
41.8,-87.78,"9","0","0",2023/06/01,2023/12/05
41.8,-87.77,"6","0","0",2023/06/08,2023/10/13
41.8,-87.58,"1519","29","0",2023/02/01,2024/01/31
41.81,-87.58,"40","0","0",2023/02/12,2023/10/01
41.82,-87.59,"48","0","0",2023/04/10,2023/11/05
41.83,-87.6,"217","0","0",2023/02/05,2023/12/23
