start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,community,edit community,suburb,recode reason,gps lookup,notes,recode,community_clean,area,shape_area,perimeter,area_num_1,area_numbe,comarea_id,comarea,shape_len
Karlov Ave & Lawrence Ave,58,3,0,2023/10/20,2024/01/13,41.96788,-87.73041383,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Kedzie Ave & Leland Ave,2134,58,1,2023/02/01,2024/01/31,41.966463,-87.70833254,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Monticello Ave & Lawrence Ave,216,23,0,2023/09/20,2024/01/31,41.96805811,-87.71966422,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
N Shore Channel Trail & Argyle St,1128,22,0,2023/02/01,2024/01/29,41.97,-87.7030855,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - 4810 Keeler Ave,56,0,0,2023/05/12,2023/12/18,41.96824503,-87.73308833,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Avers & Lawrence,138,2,0,2023/05/05,2024/01/08,41.96812,-87.724841,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Christiana Ave & Lawrence Ave,17,0,0,2023/02/16,2023/10/21,41.968317,-87.71304095,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Drake Ave & Leland Ave,27,5,0,2023/03/02,2024/01/29,41.96594,-87.72,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Elston Ave & Gunnison St,13,0,0,2023/05/18,2023/10/13,41.96851838,-87.74096978,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Karlov Ave & Lawrence Ave,50,0,0,2023/05/11,2023/12/28,41.96802217,-87.73011283,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Kedzie Ave & Argyle St,218,12,0,2023/02/07,2024/01/30,41.97,-87.71,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Kenneth & Carmen,18,0,0,2023/05/04,2023/11/18,41.97,-87.74,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
Public Rack - Kilpatrick & Elston,58,0,0,2023/05/04,2023/11/29,41.96986628,-87.74361,ALBANY PARK,,,,,,,ALBANY PARK,0,53542230.82,0,14,14,0,0,39339.01644
