community_clean,dsp_pct_january,total_annual,total_january,monthly_avg,community
ALBANY PARK,28.486140724946694,7035,167,586.25,Albany Park
ARCHER HEIGHTS,37.77578475336323,44600,1404,3716.6666666666665,Archer Heights
ARMOUR SQUARE,26.562374002096604,24802,549,2066.8333333333335,Armour Square
ASHBURN,,745,41,62.083333333333336,Ashburn
AUBURN GRESHAM,,1030,18,85.83333333333333,Auburn Gresham
AUSTIN,35.203872504050125,204932,6012,17077.666666666668,Austin
AVALON PARK,,465,13,38.75,Avalon Park
AVONDALE,25.70293636576057,25678,550,2139.8333333333335,Avondale
BELMONT CRAGIN,26.003422955888034,36226,785,3018.8333333333335,Belmont Cragin
BEVERLY,6.118587047939445,38048,194,3170.6666666666665,Beverly
BRIDGEPORT,26.078421242961202,116142,2524,9678.5,Bridgeport
BRIGHTON PARK,38.650400694196314,78364,2524,6530.333333333333,Brighton Park
BURNSIDE,,125,0,10.416666666666666,Burnside
CALUMET HEIGHTS,,393,2,32.75,Calumet Heights
CHATHAM,24.299870745368377,2321,47,193.41666666666666,Chatham
CHICAGO LAWN,32.742024819987726,200403,5468,16700.25,Chicago Lawn
CLEARING,27.5533633812399,11759,270,979.9166666666666,Clearing
DOUGLAS,18.53183837529088,9454,146,787.8333333333334,Douglas
DUNNING,29.652226967663207,3278,81,273.1666666666667,Dunning
EAST GARFIELD PARK,32.269852912454915,230407,6196,19200.583333333332,East Garfield Park
EAST SIDE,,999,7,83.25,East Side
EDGEWATER,28.058040748815877,39903,933,3325.25,Edgewater
EDISON PARK,,225,10,18.75,Edison Park
ENGLEWOOD,40.04682956304996,79437,2651,6619.75,Englewood
EVANSTON,46.98666838826301,30979,1213,2581.5833333333335,Evanston
FOREST GLEN,,891,23,74.25,Forest Glen
FULLER PARK,26.352941176470587,2550,56,212.5,Fuller Park
GAGE PARK,36.74393530997305,18550,568,1545.8333333333333,Gage Park
GARFIELD RIDGE,17.850925779395475,18957,282,1579.75,Garfield Ridge
GRAND BOULEVARD,29.985855728429986,6363,159,530.25,Grand Boulevard
GREATER GRAND CROSSING,39.570211189329385,2699,89,224.91666666666666,Greater Grand Crossing
HEGEWISCH,,704,23,58.666666666666664,Hegewisch
HERMOSA,37.45046235138705,6056,189,504.6666666666667,Hermosa
HUMBOLDT PARK,29.47489116219073,55817,1371,4651.416666666667,Humboldt Park
HYDE PARK,53.80715059588299,69225,3104,5768.75,Hyde Park
IRVING PARK,30.711275398488453,42473,1087,3539.4166666666665,Irving Park
JEFFERSON PARK,19.769357495881383,1821,30,151.75,Jefferson Park
KENWOOD,21.245002855511135,5253,93,437.75,Kenwood
LAKE VIEW,25.33901034026262,167694,3541,13974.5,Lake View
LINCOLN PARK,25.319684938933,188154,3970,15679.5,Lincoln Park
LINCOLN SQUARE,36.94145575678677,26117,804,2176.4166666666665,Lincoln Square
LOGAN SQUARE,27.41268405702846,98407,2248,8200.583333333334,Logan Square
LOOP,33.736559139784944,80352,2259,6696.0,Loop
LOWER WEST SIDE,27.277077971917468,332235,7552,27686.25,Lower West Side
MCKINLEY PARK,23.972730510285412,58967,1178,4913.916666666667,Mckinley Park
MONTCLARE,,652,18,54.333333333333336,Montclare
MORGAN PARK,33.97683397683398,1554,44,129.5,Morgan Park
MOUNT GREENWOOD,34.134632608462006,27913,794,2326.0833333333335,Mount Greenwood
NEAR NORTH SIDE,30.595080331356947,189403,4829,15783.583333333334,Near North Side
NEAR SOUTH SIDE,15.281501340482572,20888,266,1740.6666666666667,Near South Side
NEAR WEST SIDE,31.150280338951422,1768395,45905,147366.25,Near West Side
NEW CITY,18.454709706790343,70291,1081,5857.583333333333,New City
NORTH CENTER,33.105671092011356,52124,1438,4343.666666666667,North Center
NORTH LAWNDALE,26.598338225782378,321584,7128,26798.666666666668,North Lawndale
NORTH PARK,23.860438942037142,5331,106,444.25,North Park
NORWOOD PARK,,1067,26,88.91666666666667,Norwood Park
OAKLAND,21.261977942505876,5531,98,460.9166666666667,Oakland
OHARE,,487,15,40.583333333333336,Ohare
PORTAGE PARK,26.792179580014484,8286,185,690.5,Portage Park
PULLMAN,,907,10,75.58333333333333,Pullman
RIVERDALE,,177,0,14.75,Riverdale
ROGERS PARK,30.661523711845888,44851,1146,3737.5833333333335,Rogers Park
ROSELAND,20.76257609740468,3121,54,260.0833333333333,Roseland
SOUTH CHICAGO,41.10831234256927,1985,68,165.41666666666666,South Chicago
SOUTH DEERING,,705,10,58.75,South Deering
SOUTH LAWNDALE,37.10581346716855,143460,4436,11955.0,South Lawndale
SOUTH SHORE,34.024678393279075,7618,216,634.8333333333334,South Shore
UPTOWN,28.094959653841656,42755,1001,3562.9166666666665,Uptown
WASHINGTON HEIGHTS,28.40236686390533,1183,28,98.58333333333333,Washington Heights
WASHINGTON PARK,53.612511309293005,23211,1037,1934.25,Washington Park
WEST ELSDON,61.663074979564534,26914,1383,2242.8333333333335,West Elsdon
WEST ENGLEWOOD,14.07725321888412,52425,615,4368.75,West Englewood
WEST GARFIELD PARK,32.83545362828809,40639,1112,3386.5833333333335,West Garfield Park
WEST LAWN,40.62220853226552,32465,1099,2705.4166666666665,West Lawn
WEST PULLMAN,,662,8,55.166666666666664,West Pullman
WEST RIDGE,26.0141866581653,12547,272,1045.5833333333333,West Ridge
WEST TOWN,28.539642220712604,304713,7247,25392.75,West Town
WOODLAWN,56.8582475915853,45777,2169,3814.75,Woodlawn
