start_station_name,rides_all,rides_january,rides_jan14_16,first_ride,last_ride,first_lat,first_lng,pct_january,pct_jan1416
900 W Harrison St,12646,449,4,2023-02-01,2024-01-31,41.842626214,-87.704150558,42.606357741578364,0.37956666139490747
Aberdeen St & Jackson Blvd,14926,544,14,2023-02-01,2024-01-31,41.869211066666665,-87.71304606666666,43.735763097949885,1.125552726785475
Aberdeen St & Monroe St,10096,384,8,2023-02-01,2024-01-31,41.880094166666666,-87.668944,45.64183835182251,0.9508716323296355
Aberdeen St & Randolph St,11000,304,6,2023-02-01,2024-01-31,41.882124833333336,-87.67228113333333,33.163636363636364,0.6545454545454545
Ada St & Washington Blvd,6698,252,5,2023-02-01,2024-01-31,41.882617833333335,-87.70212518333334,45.14780531501941,0.8957897879964168
Adler Planetarium,16893,108,5,2023-02-01,2024-01-31,41.83867632897121,-87.64862671494483,7.67181672882259,0.3551767004084532
Albany Ave & Bloomingdale Ave,5344,189,5,2023-02-01,2024-01-31,41.87799763333334,-87.70529233333333,42.44011976047904,1.122754491017964
Albany Ave & Montrose Ave,2046,40,1,2023-02-04,2024-01-31,41.94975911666667,-87.74686418333333,23.46041055718475,0.5865102639296188
Artesian Ave & Hubbard St,5244,247,6,2023-02-01,2024-01-31,41.82328903333333,-87.69066023333333,56.52173913043478,1.3729977116704806
Ashland Ave & 13th St,3474,105,2,2023-02-01,2024-01-31,41.705845233333335,-87.71734213333333,36.26943005181347,0.690846286701209
Ashland Ave & Archer Ave,1827,38,0,2023-02-01,2024-01-30,41.838741422,-87.666129708,24.958949096880133,0.0
Ashland Ave & Augusta Blvd,7276,238,3,2023-02-01,2024-01-31,41.8831125,-87.66937483333334,39.25233644859813,0.4947773501924134
Ashland Ave & Belle Plaine Ave,3189,66,1,2023-02-01,2024-01-31,41.955620766,-87.669084907,24.835371589840076,0.37629350893697083
Ashland Ave & Blackhawk St,8438,174,2,2023-02-01,2024-01-31,41.883601657275165,-87.67021583333333,24.74520028442759,0.2844275894761792
Ashland Ave & Chicago Ave,6444,184,3,2023-02-01,2024-01-31,41.8723992,-87.684258223,34.26443202979516,0.5586592178770949
Ashland Ave & Division St,21837,535,6,2023-02-01,2024-01-31,41.86700236666667,-87.70517783333334,29.39964280807803,0.32971562027751067
Ashland Ave & Grace St,7883,217,6,2023-02-01,2024-01-31,41.912005533333335,-87.71029495,33.03310922237727,0.9133578586832424
Ashland Ave & Grand Ave,5566,147,2,2023-02-01,2024-01-31,41.86700236666667,-87.667085886,31.692418253683076,0.4311893639956881
Ashland Ave & Lake St,6374,167,1,2023-02-01,2024-01-31,41.883601657275165,-87.68064771666667,31.440225917791025,0.1882648258550361
Ashland Ave & Wellington Ave,7406,188,0,2023-02-01,2024-01-31,41.8879894,-87.67018783333333,30.461787739670537,0.0
Ashland Ave & Wrightwood Ave,5466,187,3,2023-02-01,2024-01-31,41.890812278,-87.677449942,41.05378704720088,0.6586169045005489
Avers Ave & Belmont Ave,2423,51,1,2023-02-01,2024-01-31,41.939285278,-87.72370851,25.257944696657038,0.49525381758151055
Avondale Ave & Irving Park Rd,2605,58,0,2023-02-01,2024-01-31,41.952617645,-87.74017285,26.71785028790787,0.0
Benson Ave & Church St,5958,208,5,2023-02-01,2024-01-31,42.032597303,-87.683772445,41.8932527693857,1.0070493454179255
Bernard St & Elston Ave,1827,70,2,2023-02-01,2024-01-31,41.949303746,-87.714966655,45.97701149425287,1.3136288998357963
Bissell St & Armitage Ave*,9389,322,9,2023-02-01,2024-01-31,41.9116985,-87.65908001666666,41.15454254979231,1.1502822451805303
Blackstone Ave & 59th St,4463,634,17,2023-09-14,2024-01-31,41.787442565,-87.6280285,170.46829486892224,4.5709164239300915
Blackstone Ave & Hyde Park Blvd,4871,193,10,2023-02-01,2024-01-31,41.80186483333333,-87.68012498333333,47.54670498870868,2.463559843974543
Blue Island Ave & 18th St,5537,111,1,2023-02-02,2024-01-31,41.856827736,-87.68962943333334,24.056348202998013,0.2167238576846668
Broadway & Argyle St,8819,208,1,2023-02-01,2024-01-31,41.877773046,-87.73053848333333,28.3025286313641,0.13606984918925047
Broadway & Barry Ave,28223,656,12,2023-02-01,2024-01-31,41.8679495,-87.68010996666666,27.892144704673495,0.5102221592318322
Broadway & Belmont Ave,16462,399,10,2023-02-01,2024-01-31,41.883601657275165,-87.66778016666666,29.085165836471873,0.7289515247236059
Broadway & Berwyn Ave,7694,190,1,2023-02-01,2024-01-31,41.9433502470174,-87.67066776752472,29.63348063426046,0.15596568754873927
Broadway & Cornelia Ave,21002,457,4,2023-02-01,2024-01-31,41.760866283333336,-87.836727262,26.111798876297495,0.2285496619369584
