community_clean,n_annual_st,n_january_st,n_jan1416_st,n_stations_st,n_annual_ud,n_january_ud,n_jan1416_ud,n_locations_ud,total_annual,total_january,total_jan1416,monthly_avg,daily_avg,pct_january,pct_jan1416,dsp_pct_january
ALBANY PARK,4459,134,1,19,2576,33,0,4,7035,167,1,586.25,19.273972602739725,28.486140724946694,5.188343994314144,28.486140724946694
ARCHER HEIGHTS,44087,1396,30,14,513,8,0,5,44600,1404,30,3716.6666666666665,122.1917808219178,37.77578475336323,24.55156950672646,37.77578475336323
ARMOUR SQUARE,17515,416,10,9,7287,133,1,4,24802,549,11,2066.8333333333335,67.95068493150686,26.562374002096604,16.188210628175145,26.562374002096604
ASHBURN,399,33,1,36,346,8,0,15,745,41,1,62.083333333333336,2.041095890410959,66.04026845637584,48.993288590604024,
AUBURN GRESHAM,657,15,1,32,373,3,0,9,1030,18,1,85.83333333333333,2.8219178082191783,20.97087378640777,35.43689320388349,
AUSTIN,202365,5974,121,65,2567,38,0,20,204932,6012,121,17077.666666666668,561.4575342465754,35.203872504050125,21.55105108035836,35.203872504050125
AVALON PARK,334,11,1,6,131,2,1,4,465,13,2,38.75,1.273972602739726,33.54838709677419,156.98924731182797,
AVONDALE,20442,445,3,13,5236,105,2,3,25678,550,5,2139.8333333333335,70.35068493150685,25.70293636576057,7.107251343562583,25.70293636576057
BELMONT CRAGIN,31380,722,8,45,4846,63,0,10,36226,785,8,3018.8333333333335,99.24931506849315,26.003422955888034,8.060509026665931,26.003422955888034
BEVERLY,37001,177,1,21,1047,17,0,12,38048,194,1,3170.6666666666665,104.24109589041096,6.118587047939445,0.9593145500420521,6.118587047939445
BRIDGEPORT,111608,2446,52,16,4534,78,0,5,116142,2524,52,9678.5,318.1972602739726,26.078421242961202,16.34206402507276,26.078421242961202
BRIGHTON PARK,76562,2491,46,21,1802,33,0,8,78364,2524,46,6530.333333333333,214.6958904109589,38.650400694196314,21.42565463733347,38.650400694196314
BURNSIDE,103,0,0,1,22,0,0,1,125,0,0,10.416666666666666,0.3424657534246575,0.0,0.0,
CALUMET HEIGHTS,304,1,0,6,89,1,0,4,393,2,0,32.75,1.0767123287671232,6.106870229007634,0.0,
CHATHAM,1857,32,1,28,464,15,0,10,2321,47,1,193.41666666666666,6.358904109589041,24.299870745368377,15.725980180956485,24.299870745368377
CHICAGO LAWN,199303,5459,104,51,1100,9,0,12,200403,5468,104,16700.25,549.0493150684931,32.742024819987726,18.941832208100678,32.742024819987726
CLEARING,11323,267,10,16,436,3,0,7,11759,270,10,979.9166666666666,32.21643835616438,27.5533633812399,31.040054426396804,27.5533633812399
DOUGLAS,4827,61,0,2,4627,85,1,3,9454,146,1,787.8333333333334,25.9013698630137,18.53183837529088,3.860799661518934,18.53183837529088
DUNNING,2012,69,0,27,1266,12,0,13,3278,81,0,273.1666666666667,8.98082191780822,29.652226967663207,0.0,29.652226967663207
EAST GARFIELD PARK,229481,6183,134,41,926,13,0,5,230407,6196,134,19200.583333333332,631.2520547945205,32.269852912454915,21.22765367371651,32.269852912454915
EAST SIDE,858,6,0,21,141,1,0,7,999,7,0,83.25,2.736986301369863,8.408408408408409,0.0,
EDGEWATER,18003,371,7,3,21900,562,3,4,39903,933,10,3325.25,109.32328767123288,28.058040748815877,9.147181916146655,28.058040748815877
EDISON PARK,168,10,0,13,57,0,0,4,225,10,0,18.75,0.6164383561643836,53.333333333333336,0.0,
ENGLEWOOD,78342,2602,75,24,1095,49,0,10,79437,2651,75,6619.75,217.63561643835615,40.04682956304996,34.46127119604215,40.04682956304996
EVANSTON,30979,1213,35,14,0,0,0,0,30979,1213,35,2581.5833333333335,84.87397260273973,46.98666838826301,41.23761257626134,46.98666838826301
FOREST GLEN,424,9,0,19,467,14,0,10,891,23,0,74.25,2.441095890410959,30.976430976430976,0.0,
FULLER PARK,2279,50,2,6,271,6,0,3,2550,56,2,212.5,6.986301369863014,26.352941176470587,28.627450980392155,26.352941176470587
GAGE PARK,16929,535,15,19,1621,33,0,8,18550,568,15,1545.8333333333333,50.821917808219176,36.74393530997305,29.514824797843666,36.74393530997305
GARFIELD RIDGE,18127,266,4,23,830,16,0,13,18957,282,4,1579.75,51.93698630136986,17.850925779395475,7.701640554940128,17.850925779395475
GRAND BOULEVARD,4918,128,0,14,1445,31,0,4,6363,159,0,530.25,17.432876712328767,29.985855728429986,0.0,29.985855728429986
GREATER GRAND CROSSING,1838,61,2,20,861,28,0,8,2699,89,2,224.91666666666666,7.394520547945206,39.570211189329385,27.047054464616522,39.570211189329385
HEGEWISCH,576,17,0,11,128,6,0,10,704,23,0,58.666666666666664,1.9287671232876713,39.20454545454545,0.0,
HERMOSA,3843,161,1,13,2213,28,0,3,6056,189,1,504.6666666666667,16.59178082191781,37.45046235138705,6.027080581241743,37.45046235138705
