start_date,snowfall,avg_wind_speed,avg_temp,rides
2024-01-01,0.0,10.07,31,3658
2024-01-02,0.0,12.08,30,6533
2024-01-03,0.0,7.16,33,7468
2024-01-04,0.0,4.92,32,8120
2024-01-05,0.1,6.71,31,7383
2024-01-06,2.6,4.25,33,3542
2024-01-07,0.8,7.83,32,4440
2024-01-08,0.4,8.95,33,8052
2024-01-09,2.8,13.2,35,3261
2024-01-10,0.1,12.08,33,7870
2024-01-11,0.3,8.28,31,8358
2024-01-12,4.7,13.42,32,2059
2024-01-13,2.4,16.55,27,1935
2024-01-14,0.0,16.11,-3,587
2024-01-15,0.0,10.96,-7,731
2024-01-16,0.0,16.11,-1,1141
2024-01-17,0.0,12.97,7,2932
2024-01-18,0.8,6.49,20,4502
2024-01-19,1.1,14.09,12,2651
2024-01-20,0.0,9.84,10,2327
2024-01-21,0.0,9.84,9,2039
2024-01-22,0.0,11.41,25,4394
2024-01-23,0.0,3.8,34,3843
2024-01-24,0.0,5.82,35,4897
2024-01-25,0.0,8.95,36,6107
2024-01-26,0.0,5.82,38,4773
2024-01-27,0.0,7.61,38,4424
2024-01-28,0.0,11.41,37,4342
2024-01-29,0.0,10.96,34,7000
2024-01-30,0.0,9.62,38,7566
2024-01-31,0.0,10.07,37,7938
